"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",Latitude,Longitude,"Primary NAICS","Primary SIC","Sales Volume","Total Employees","Local Employees","Year Started"
"COCINA EL SABOR JAROCHO LLC",,"1414 VILLAGE DR",LEXINGTON,KY,405041615,8592557091,"EATING PLACE",38.048554,-84.548555,722511,58120112,111159,7,7,2014
"COLES 735 MAIN",,"735 E MAIN ST",LEXINGTON,KY,405021601,8592669000,"EATING PLACE",38.035627,-84.484415,722511,58120101,365719,19,19,2015
"COLUMBIA DELIVERS, INC.","COLUMBIA STEAK EXPRESS","125 SOUTHLAND DR",LEXINGTON,KY,405031926,8592729600,"EATING PLACE",38.012168,-84.518279,722511,58120802,238479,10,10,1994
"COLUMBIA STEAK HOUSE",,"2750 RICHMOND RD",LEXINGTON,KY,405091503,8592681666,"EATING PLACE",38.007816,-84.453813,722511,58120802,254725,10,10,1993
"CORKY'S BARBECUE",,"130 W TIVERTON WAY",LEXINGTON,KY,405034421,,"EATING PLACE",37.980374,-84.530849,722511,58120801,250402,30,30,2005
"CORRAL 703 LLC",,,LEXINGTON,KY,40544,,"EATING PLACE",38.039,-84.5525,722511,58120103,108331,1,1,2005
"CORTO LIMA LLC",,"101 W SHORT ST",LEXINGTON,KY,405071301,8593178796,"EATING PLACE",38.047103,-84.49627,722511,58120500,496877,11,11,2016
"COSTA GRANDE TAQUERIA, LLC",,"1414 VILLAGE DR",LEXINGTON,KY,405041615,8594558686,"EATING PLACE",38.048554,-84.548555,722511,58120112,140407,7,7,2005
"COWBOY CAFE, LLC",,"632 MAIDENCANE DR",LEXINGTON,KY,405099048,,"EATING PLACE",37.984,-84.39893,722511,58129902,277925,2,2,2024
"CRACKER BARREL OLD COUNTRY STORE, INC.","CRACKER BARREL","1927 STANTON WAY",LEXINGTON,KY,405111350,8592337684,"EATING PLACE RET GIFTS/NOVELTIES",38.101163,-84.480858,722511,58120501,0,0,133,
"CRACKER BARREL OLD COUNTRY STORE, INC.","CRACKER BARREL","2220 ELKHORN RD",LEXINGTON,KY,405054840,8592932555,"EATING PLACE RET GIFTS/NOVELTIES",38.044824,-84.422019,722511,58120501,0,0,112,
"CREED'S SOUL GOOD KITCHEN LLC",,"116 YAMACRAW PL",LEXINGTON,KY,405118839,,"EATING PLACE",38.08885,-84.56214,722511,58120100,259779,1,1,2025
"CROWN AFRICAN CUISINE LLC",,"2818 SANDERSVILLE RD",LEXINGTON,KY,405118836,,"EATING PLACE",38.09473,-84.54013,722511,58120000,259779,1,1,2024
"CUBAN PETE SANDWICHES",,"280 AVAWAM DR",RICHMOND,KY,404759197,,"EATING PLACE",37.899948,-84.375629,722511,58120100,83960,1,1,2020
"CURIOUS GRUB LLC",,"829 W MAXWELL ST",LEXINGTON,KY,405082525,,"EATING PLACE",38.049917,-84.508378,722511,58120000,65812,1,1,2022
"CURRY HOUSE RESTAURAN",,"2220 NICHOLASVILLE RD STE 160",LEXINGTON,KY,405032400,8592770711,"EATING PLACE",38.006999,-84.5168,722511,58120107,89971,5,5,2010
"D'S CAFE AT BRYAN STATION",,"1818 BRYAN STATION RD",LEXINGTON,KY,405052232,8592995182,"EATING PLACE",38.062954,-84.45319,722511,58129902,83275,1,1,2020
DARIOS,,"1401 HARRODSBURG RD STE C25",LEXINGTON,KY,405043751,8592859221,"EATING PLACE",38.033242,-84.525607,722511,58120000,87216,1,1,2017
"DAVENPORT BAKERY BAR & GRILL",,"3050 RIO DOSA DR",LEXINGTON,KY,405091540,8592692325,"EATING PLACE",38.004557,-84.442463,722511,58120000,103126,6,6,2016
"DAYS INN LEXINGTON CO INC","DAYS INN","1987 N BROADWAY",LEXINGTON,KY,405051599,8592991202,"HOTEL/MOTEL OPERATION EATING PLACE",38.076193,-84.458973,721110,70110000,476198,9,9,1996
"DBA THE REDLIGHT A LA LUCIE",,"780 N LIMESTONE",LEXINGTON,KY,405081684,,"EATING PLACE",38.056926,-84.481683,722511,58129902,115805,1,1,2017
"DEANS DINER LIMITED LIABILITY COMPANY",BREWED,"3124 TIBURON WAY",LEXINGTON,KY,405118672,8592156045,"EATING PLACE",38.111269,-84.534352,722511,58129907,198305,6,6,2019
"DEEP BLUE LLC","FAVOR KITCHEN","574 N LIMESTONE",LEXINGTON,KY,405081677,,"EATING PLACE",38.053758,-84.486373,722511,58120000,255353,1,1,2019
"DELICIOUS BITE, LLC",,"1999 SPRING STATION DR",LEXINGTON,KY,405052041,,"EATING PLACE",38.06757,-84.44741,722511,58120000,259779,1,1,2025
"DENNY'S, INC.",DENNY'S,"1949 NICHOLASVILLE RD",LEXINGTON,KY,405032043,8592777150,"RESTAURANT-FAM CHAIN",38.012554,-84.516753,722511,58120501,0,0,0,
"DEVASSA LLC",,"646 GOLFVIEW DR",LEXINGTON,KY,405042332,8592298387,"EATING PLACE",38.039113,-84.526899,722511,58120801,111069,1,1,2012
"DIP N CREPE, LLC",,"780 VERMILLION PEAK PASS",LEXINGTON,KY,405156458,,"EATING PLACE",37.954839,-84.509414,722511,58120104,1141225,1,1,2023
"DIXIE HOWINGTON CAFE LLC",,"3100 GLENGARTH PARK",LEXINGTON,KY,405098556,,"EATING PLACE",38.023502,-84.395705,722511,58129902,85173,1,1,2021
"DOLCE CAFE LLC",,"2900 NEWTOWN PIKE UNIT A",LEXINGTON,KY,405118548,,"EATING PLACE",38.120499,-84.480188,722511,58129902,65812,1,1,2022
"DONOHO RESTAURANT, LLC","ARIRANG GARDEN","1348 COPPER RUN BLVD",LEXINGTON,KY,405142218,8592698273,"EATING PLACE",37.982898,-84.571693,722511,58120000,99978,6,6,2008
"DOODLES DELIGHTS LLC",,"2041 LANGHORNE DR",LEXINGTON,KY,405141321,8594200849,"EATING PLACE",37.990589,-84.578513,722511,58120500,158053,4,4,2005
"DOS AMIGOS LLC",,"3504 FOREST COVE LN",LEXINGTON,KY,405156401,,"EATING PLACE",37.990888,-84.44132,722511,58120112,63220,1,1,2022
"DOUBLE DOGS LLC",,"1916 JUSTICE DR STE 130",LEXINGTON,KY,405092609,,"EATING PLACE",38.017253,-84.411938,722511,58120000,0,0,17,
"DOUBLE H BBQ, LLC",,"175 JESSELIN DR",LEXINGTON,KY,405032012,8592784760,"EATING PLACE",38.009999,-84.511674,722511,58120801,176968,5,5,2012
"DOVA'S KITCHEN, LLC",,"2397 ENGLISH STATION DR",LEXINGTON,KY,405141425,,"EATING PLACE",37.99173,-84.58314,722511,58120000,259779,1,1,2024
"DRAGON FEAST LLC",,"2264 VALENCIA DR",LEXINGTON,KY,405130907,8594073638,"EATING PLACE",38.008272,-84.575729,722511,58120103,67072,1,1,2021
DRAKE'S,,"866 MALABU DR",LEXINGTON,KY,405023404,,"EATING PLACE",37.992093,-84.495848,722511,58120101,258473,7,7,2019
"DRAKE'S PIKEVILLE, LLC",,"866 MALABU DR STE 350",LEXINGTON,KY,405023404,,"EATING PLACE",37.992194,-84.495901,722511,58120000,432825,1,1,2022
"DRAKES HUNTSVILLE I LLC",,"3373 TATES CREEK RD",LEXINGTON,KY,405023407,8599772601,"EATING PLACE",37.995678,-84.496734,722511,58120101,321627,1,1,2013
"DRUNKEN TACO LLC",,"725 MORGAN HILLS DR",LEXINGTON,KY,405094369,,"EATING PLACE",38.023758,-84.441939,722511,58120112,65812,1,1,2022
"DUDLEY'S ON SHORT",,"259 W SHORT ST",LEXINGTON,KY,405071242,8592521010,"EATING PLACE",38.048524,-84.497743,722511,58120101,274505,8,8,2014
"DUFF'S SERVICE STATION, INC.",,"319 EASTIN RD",LEXINGTON,KY,405052056,,"GASOLINE SERVICE STATION EATING PLACE",38.064239,-84.45551,457120,55410000,154580,2,2,1952
"DUMPLING HOUSE INC",,"1080 S BROADWAY",LEXINGTON,KY,405044108,,"EATING PLACE",38.03687,-84.51771,722511,58120100,277925,1,1,2025
"DUMPLINGS NOODLES INC",,"3695 NICHOLASVILLE RD STE 120",LEXINGTON,KY,405034493,8592460000,"EATING PLACE",37.984766,-84.527607,722511,58120103,68406,1,1,2023
"DURANGO'S MEXICAN RESTAURANT INC",,"2250 RICHMOND RD STE 150",LEXINGTON,KY,405021311,8592680723,"EATING PLACE",38.016961,-84.463671,722511,58120112,209806,10,10,1994
"DURANGO'S, INC.",,"2121 RICHMOND RD STE 150",LEXINGTON,KY,405021211,8592680723,"EATING PLACE",38.019073,-84.465134,722511,58120112,60308,1,1,2016
"DV8 KITCHEN",,"867 S BROADWAY STE 140",LEXINGTON,KY,405042866,8599550388,"EATING PLACE",38.039852,-84.514733,722511,58120000,272188,20,20,2017
"DV8 KITCHEN 2, LLC",,"405 RIDGEWAY RD",LEXINGTON,KY,405022343,8593215600,"EATING PLACE",38.022796,-84.482987,722511,58120000,354941,6,6,2020
"DV8 LLC",,"4205 SPERLING DR",LEXINGTON,KY,405092716,8596847031,"EATING PLACE",37.987742,-84.401157,722511,58120000,83093,1,1,2019
"DWB RESTAURANTS, LLC",,"300 W VINE ST",LEXINGTON,KY,405071621,,"EATING PLACE",38.047631,-84.500787,722511,58120000,123927,7,7,2010
"DYNOMITE LLC",MINGLEWOOD,"159 N LIMESTONE",LEXINGTON,KY,405071124,8595760196,"EATING PLACE",38.047441,-84.495706,722511,58120000,113871,1,1,2017
"EASE CAFE LLC",,"300 E MAXWELL ST",LEXINGTON,KY,405082702,,"EATING PLACE",38.03946,-84.497167,722511,58129902,277925,2,2,2024
"EAT CBC LLC",,"838 E HIGH ST STE 175",LEXINGTON,KY,405022107,8599135611,"EATING PLACE",38.030376,-84.490059,722511,58120000,198336,4,4,2013
"EATS N' BEATS",,"792 MAIDENCANE DR",LEXINGTON,KY,405099049,,"EATING PLACE",37.986204,-84.393882,722511,58120000,73775,6,6,2013
"ECO FRIENDLY PRESSURE WASHING",,"3077 POLO CLUB BLVD",LEXINGTON,KY,405098453,8599482884,"EATING PLACE",38.017779,-84.403075,722511,58120501,98787,2,2,2019
"EDLEYS LEXINGTON LLC",,"114 SUMMIT AT FRITZ FARM STE 110",LEXINGTON,KY,405178300,2058077557,"EATING PLACE",37.976614,-84.526682,722511,58120801,185434,1,1,2017
"EL ANTOJITO, LLC",,"3460 WARWICK CT APT A",LEXINGTON,KY,405172314,8595500552,"EATING PLACE",37.989809,-84.508639,722511,58120112,72417,6,6,2014
"EL BUEN TACO LLC",,"1465 VILLAGE DR",LEXINGTON,KY,405041614,8592133762,"EATING PLACE",38.047798,-84.549512,722511,58120112,291373,1,1,2023
"EL CAFE LLC",,"1801 ALEXANDRIA DR STE 164",LEXINGTON,KY,405043153,8593382456,"EATING PLACE",38.036991,-84.552972,722511,58129902,65812,1,1,2022
"EL CHARRO AUTHENTIC MEXICAN CUISINE, LLC",,"4371 OLD HARRODSBURG RD",LEXINGTON,KY,405138008,8592190200,"EATING PLACE",37.996748,-84.584455,722511,58120112,444947,9,9,2012
"EL ESPOLON",,"191 JEFFERSON ST",LEXINGTON,KY,405081758,8595231855,"EATING PLACE",38.053666,-84.500684,722511,58120112,97684,1,1,2018
"EL GATO AZUL, LLC",,"3004 RIVER RUN TRL",LEXINGTON,KY,405118949,,"EATING PLACE",38.107689,-84.538808,722511,58120112,63220,1,1,2022
"EL GRAN TACO",,"1801 ALEXANDRIA DR STE 156",LEXINGTON,KY,405043153,8592787196,"EATING PLACE",38.036927,-84.55294,722511,58120112,175412,6,6,2011
"EL MILAGRO",,"1545 ALEXANDRIA DR STE 1",LEXINGTON,KY,405042128,8592775147,"EATING PLACE",38.045579,-84.552258,722511,58120112,157782,8,8,2010
"EL REY DE LOS POLLOS",,"1485 ALEXANDRIA DR",LEXINGTON,KY,405041610,8593730920,"EATING PLACE",38.047628,-84.552502,722511,58120112,217193,1,1,2013
"EL SABOR DE MEXICO RESTURANTE",,"1505 RUSSELL CAVE RD",LEXINGTON,KY,405051419,8592930308,"EATING PLACE",38.071861,-84.476444,722511,58120112,107375,7,7,2012
"EL SABOR OAXAQUENO 2 LLC",,"2417 NICHOLASVILLE RD STE 100",LEXINGTON,KY,405033178,,"EATING PLACE",38.002864,-84.520344,722511,58120112,259779,1,1,2024
"EL SABOR OAXAQUENO LLC",,"2218 OVERLAND CT",LEXINGTON,KY,405151937,,"EATING PLACE",37.963312,-84.474953,722511,58120112,63220,1,1,2022
"EL SABORJAROCHO",,"1416 VILLAGE DR",LEXINGTON,KY,405041615,8592557091,"EATING PLACE",38.048482,-84.548481,722511,58120112,75154,1,1,2013
"EL SABROSO, INC.",,"1445 VILLAGE DR",LEXINGTON,KY,405041614,8592530073,"EATING PLACE",38.047981,-84.549568,722511,58120500,155201,1,1,2015
"EL TACO MEX",,"771 E NEW CIRCLE RD",LEXINGTON,KY,405052905,8592943695,"EATING PLACE",38.046676,-84.453507,722511,58120112,75700,1,1,2007
"EL TAQUERO LLC",,"1395 W MAIN ST",LEXINGTON,KY,405082047,,"EATING PLACE",38.063718,-84.519957,722511,58120112,153620,1,1,2020
"EL TORITO MEXICAN RESTARAUNT, LLC",,"3085 STANFORD DR",LEXINGTON,KY,405171518,,"EATING PLACE",37.979752,-84.523232,722511,58120112,67058,3,3,2019
"EL TORO CANTINA & GRILL, INC.",,"1917 NICHOLASVILLE RD",LEXINGTON,KY,405032043,8592772255,"EATING PLACE",38.12812,-84.516368,722511,58120112,229027,3,3,2001
"EMO 'YA MMBONDO - LEXINGTON, INC.",,"284 FERNDALE PASS",LEXINGTON,KY,405118648,,"EATING PLACE",38.087274,-84.546298,722511,58120109,60747,1,1,2019
"EPPINGS ON EAST SIDE",,"264 WALTON AVE",LEXINGTON,KY,405021452,8599710240,"EATING PLACE",38.040798,-84.479891,722511,58120101,246713,10,10,2018
"ESLORE, LLC","BANDIDO TAQUERIA MEXICANA","535 S UPPER ST STE 145",LEXINGTON,KY,405082975,,"EATING PLACE",38.042482,-84.5052,722511,58120112,74190,1,1,2021
"ETHNOS CAFE LLC",,"777 EMMETT CREEK LN",LEXINGTON,KY,405156304,,"EATING PLACE",37.960298,-84.508322,722511,58129902,277925,1,1,2025
"EVEREST RESTAURANT LLC","EVEREST NPALESE INDIAN CUISINE","1801 ALEXANDRIA DR",LEXINGTON,KY,405043153,8594478080,"EATING PLACE",38.036641,-84.553118,722511,58120107,65812,6,6,2022
"EVERYBODY EATS CAFE L.L.C.",,"417 GEORGETOWN ST",LEXINGTON,KY,405081130,,"EATING PLACE",38.060573,-84.501772,722511,58129902,127330,1,1,2021
"F & E, INC.","CHARLIE BROWN'S RESTAURANT","140 IDLE HOUR DR",LEXINGTON,KY,405021102,8592695701,"EATING PLACE DRINKING PLACE",38.02262,-84.466539,722511,58120101,302493,11,11,1972
"FAZOLI'S GROUP INC",,"2470 PALUMBO DR",LEXINGTON,KY,405091117,8592681668,"ITALIAN RESTAURANT AND FRANCHISE OWNER",38.017612,-84.446027,722511,58120108,247856,25,25,2015
"FAZOLI'S PROMOTIONS, INC.",,"2470 PALUMBO DR",LEXINGTON,KY,405091117,,"EATING PLACE",38.017612,-84.446027,722511,58120108,299049,17,17,2020
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"4204 SARON DR",LEXINGTON,KY,405156300,8592713437,"ITALIAN RESTAURANT",37.967971,-84.501168,722511,58120108,0,0,71,
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"2200 NICHOLASVILLE RD",LEXINGTON,KY,405032418,8592751955,"ITALIAN RESTAURANT",38.008075,-84.51713,722511,58120108,0,0,77,
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"2195A RICHMOND RD",LEXINGTON,KY,405021207,8592668224,"ITALIAN RESTAURANT",38.018989,-84.464862,722511,58120108,0,0,80,
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"3775 PALOMAR CENTRE DR",LEXINGTON,KY,405131145,8592230511,"ITALIAN RESTAURANT",38.005822,-84.573208,722511,58120108,0,0,74,
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"2470 PALUMBO DR",LEXINGTON,KY,405091117,8592681668,"ITALIAN RESTAURANT",38.017612,-84.446027,722511,58120108,28196033,5500,86,2006
"FAZOLI'S RESTAURANTS, LLC",FAZOLI'S,"1840 ALYSHEBA WAY",LEXINGTON,KY,405092208,8592631749,"ITALIAN RESTAURANT",38.018495,-84.4189,722511,58120108,0,0,80,
"FETA'S A TASTE OF EUROPE LIMITED LIABILITY COMPANY",,"2022 EASTLAND PKWY",LEXINGTON,KY,405052552,,"EATING PLACE",38.05403,-84.4347,722511,58120000,277925,1,1,2024
"FIRST WATCH",,"2251 WAR ADMIRAL WAY STE 130",LEXINGTON,KY,405092546,8592634737,"EATING PLACE",38.040995,-84.426581,722511,58120000,230882,10,10,
"FIRST WATCH SIMPSON C",,"1080 S BROADWAY STE 301",LEXINGTON,KY,405044120,8592522226,"EATING PLACE",38.036786,-84.517642,722511,58120101,226094,7,7,2013
"FISHER CUTBAIT, INC.",,"39 MENTELLE PARK",LEXINGTON,KY,405021511,8592775919,"EATING PLACE",38.035708,-84.479638,722511,58120500,198305,8,8,2001
"FIVE STAR SOUTH, LLC",,"250 W MAIN ST STE 2100",LEXINGTON,KY,405071728,,"EATING PLACE DRINKING PLACE",38.04749,-84.499129,722511,58120101,114275,10,10,1996
"FIVE STAR, INC.","JOZO'S BAYOU GUMBO","750 ENTERPRISE DR STE 103",LEXINGTON,KY,405101030,8592253414,RESTAURANT,38.06175,-84.55091,722511,58120000,112247,35,35,1991
"FLASH, INC.","SAWYER'S DOWNTOWN","325 W MAIN ST STE 120",LEXINGTON,KY,405071652,8592816022,"EATING PLACE",38.048749,-84.499441,722511,58120000,213225,9,9,2001
"FOAM WARZ LLC",,"2551 REGENCY RD STE 101",LEXINGTON,KY,405032963,8599129121,"EATING PLACE",38.001449,-84.525151,722511,58120000,246422,6,6,2018
"FOLIAGE CHINESE RESTAURANT","FOLIAGE RESTAURANT","3650 BOSTON RD",LEXINGTON,KY,405141569,8592233099,RESTAURANT,37.979776,-84.549417,722511,58120103,164308,5,5,1993
"FORBES NORTH LLC","BAD WOLF BURGERS","1499 N FORBES RD",LEXINGTON,KY,405112013,8592582222,"EATING PLACE",38.069739,-84.519965,722511,58129902,485714,17,17,2010
"FRESH BOURBON INC.",,"229 ELLERSLIE PARK BLVD",LEXINGTON,KY,405155716,,"EATING PLACE",37.982923,-84.431511,722511,58120000,233044,1,1,2017
"FRISCH'S BIG BOY 222",,"1849 ALYSHEBA WAY",LEXINGTON,KY,405092209,8592640292,"EATING PLACE",38.01948,-84.419685,722511,58120501,117011,10,10,2013
"FRISCH'S RESTAURANTS, INC.","BIG BOY RESTAURANT","1927 HARRODSBURG RD",LEXINGTON,KY,405031250,8592786002,"RESTAURANT-FAM CHAIN",38.027921,-84.533522,722511,58120501,0,0,70,
"FUSION WORKPLACES LLC",,"1890 STAR SHOOT PKWY STE 270",LEXINGTON,KY,405094566,,"EATING PLACE",38.02394,-84.423928,722511,58120000,65208,5,5,2016
"G AND E KITCHEN, LLC",,"380 S MILL ST",LEXINGTON,KY,405082560,,"EATING PLACE",38.045035,-84.502639,722511,58120000,131863,1,1,2010
"GAMEFACE, INC.","WINCHELLS RESTAURANT & SPT BAR","348 SOUTHLAND DR",LEXINGTON,KY,405031825,8592789424,"EATING PLACE",38.016736,-84.525779,722511,58120101,586216,18,18,2004
"GEORGETOWN I RESTAURANT, LLC",,"1890 STAR SHOOT PKWY STE 170-121",LEXINGTON,KY,405094566,,"EATING PLACE",38.024176,-84.423918,722511,58120000,142880,6,6,2019
"GINGER WASABI SUSHI, INC.","GINGER WASABI SUSHI","103 W MAXWELL ST",LEXINGTON,KY,405082503,,"EATING PLACE",38.043582,-84.501364,722511,58120114,224699,6,6,2018
"GIRLSGIRLSGIRLS LLC","GIRLSGIRLSGIRLS BURRITOS","395 S LIMESTONE APT 1",LEXINGTON,KY,405081866,8592856853,"EATING PLACE",38.041891,-84.504005,722511,58120112,636971,20,20,2018
"GIUSEPPE'S LLC","GIUSEPPE'S RISTORANTE ITALIANO","4456 OLD NICHOLASVILLE RD",LEXINGTON,KY,405154807,8592724053,"ITALIAN RESTAURANT",37.967848,-84.532654,722511,58120108,449589,16,16,1994
"GMRI, INC.","OLIVE GARDEN","3385 NICHOLASVILLE RD",LEXINGTON,KY,405033601,8592728334,"EATING PLACE DRINKING PLACE",37.989172,-84.525421,722511,58120700,0,0,220,
"GOLD INTERNET CAFE LLC",,"196 E NEW CIRCLE RD B",LEXINGTON,KY,405052149,,"EATING PLACE",38.0574,-84.4586,722511,58129902,65812,1,1,2023
"GOLDEN BUFFET INC",,"2907 RICHMOND RD",LEXINGTON,KY,405091714,8592681588,"EATING PLACE",38.004686,-84.448723,722511,58120103,284559,10,10,2003
"GOLDEN PALATKA, LLC","GOLDEN CORRAL","185 E NEW CIRCLE RD",LEXINGTON,KY,405052114,8592991600,"RESTAURANT-FAM CHAIN",38.062878,-84.467506,722511,58120501,0,0,5,
"GOLDEN WOK","GOLDEN WOK CHINESE RESTAURANT","3101 RICHMOND RD STE 302",LEXINGTON,KY,405091526,8592660538,"CHINESE RESTAURANT",38.002882,-84.443947,722511,58120103,155887,4,4,1994
"GOOD FOODS MARKET & CAFE",,"455 SOUTHLAND DR STE D",LEXINGTON,KY,405031826,8592781813,"RET GROCERIES EATING PLACE MFG BREAD/RELATED PRDTS RETAIL BAKERY",38.020182,-84.527344,445110,54119901,6764672,100,100,1972
"GOSS OF KENTUCKY LTD CO","EXCAVATION SERVICES LTD. CO.","104 WESTWOOD DR",LEXINGTON,KY,405031138,6062732703,"EATING PLACE",38.024956,-84.512762,722511,58120000,92735,7,7,2015
"GOTCHA DAY CAT CAFE L.L.C.",,"320 BOTTS CT",WINCHESTER,KY,403918928,,"EATING PLACE",38.03001,-84.28477,722511,58129902,65812,1,1,2022
"GRACE CARIBEAN CUISINE LLC",,"3099 KIRKLEVINGTON DR",LEXINGTON,KY,405172467,,"EATING PLACE",37.988819,-84.500441,722511,58120000,63220,1,1,2023
"GRAPEVINE INC",,"4101 TATES CREEK CENTRE DR",LEXINGTON,KY,405173066,8593274924,"DRINKING PLACE EATING PLACE",37.971987,-84.498782,722410,58130101,240732,11,11,1988
"GRASS TO GRACE CUISINE, L.L.C.",,"249 GATEWAY PARK CIR",LEXINGTON,KY,405118918,,"EATING PLACE",38.091604,-84.548009,722511,58120000,63220,1,1,2022
"GRATZ PARK INN",,"232 SYCAMORE RD",LEXINGTON,KY,405021844,8592311777,"HOTEL & RESTAURANT",38.027937,-84.482959,721191,70110401,241917,4,4,1987
"GRAZE LLC",,"207 S LIMESTONE",LEXINGTON,KY,405082501,,"EATING PLACE",38.045009,-84.499248,722511,58129902,195071,1,1,2017
"GREY GOOSE LLC",,"176 JEFFERSON ST",LEXINGTON,KY,405081724,8598469933,"EATING PLACE",38.053146,-84.500891,722511,58120101,0,0,25,
"GRILL ALLEY LLC",,"450 SOUTHLAND DR",LEXINGTON,KY,405031807,8596086676,"EATING PLACE",38.019117,-84.52844,722511,58120000,136589,6,6,2010
"GRILL, ATHENIAN",,"1117 WINCHESTER RD",LEXINGTON,KY,405054028,8593035048,"EATING PLACE",38.031308,-84.49104,722511,58120500,381692,17,17,2014
"GRILLFISH LEXINGTON LLC",,"265 N LIMESTONE STE 1",LEXINGTON,KY,405071073,,"EATING PLACE",38.049539,-84.492809,722511,58120700,192291,6,6,2016
"GROOVY LAGOON SALES LLC",,"2366 HARRODS POINTE TRCE",LEXINGTON,KY,405141447,,"EATING PLACE",37.983501,-84.584768,722511,58120801,75049,1,1,2019
"GRUB AND GO LLC",,"3870 BOSTON RD",LEXINGTON,KY,405141549,,"EATING PLACE",37.978317,-84.552464,722511,58120000,65812,1,1,2022
"GRYPHMORE FOOD SERVICES OF KEN",,"414 HENRY CLAY BLVD",LEXINGTON,KY,405021026,8592686985,"EATING PLACE",38.033186,-84.469262,722511,58120000,130847,5,5,2005
"GRYPHMORE FOODSERVICES OF KENTUCKY, INC.","MOE'S SOUTHWEST GRILL","141 ROJAY DR",LEXINGTON,KY,405034408,8599716637,"EATING PLACE",37.984902,-84.530138,722511,58120112,806420,9,9,2009
"GULJAR, LLC","TANDOOR INDIAN RESTAURANT","3146 MAPLELEAF DR STE 110",LEXINGTON,KY,405091258,8592635771,"EATING PLACE",38.005361,-84.426556,722511,58120107,208288,1,1,2016
"GUMBO YAY YA",,"294 E BRANNON RD",NICHOLASVILLE,KY,403568059,8592529292,"EATING PLACE",38.036575,-84.5168,722511,58120500,100871,7,7,2004
"GUSTAVOS LLC",,"2809 WINTER GDN",LEXINGTON,KY,405174178,,"EATING PLACE",37.9945,-84.455244,722511,58120112,63220,1,1,2022
"GYROZ EATERY",,"393 WALLER AVE",LEXINGTON,KY,405042914,8592544976,"EATING PLACE",38.031722,-84.519609,722511,58120500,232207,6,6,2013
"H&D RESTAURANT, INC.",,"1916 JUSTICE DR STE 1",LEXINGTON,KY,405092608,,"EATING PLACE",38.017039,-84.412195,722511,58120000,67695,4,4,2020
"H&H RESTAURANT INC",,"3284 EAGLE VIEW LN",LEXINGTON,KY,405091851,8596999616,"EATING PLACE",38.000143,-84.443908,722511,58120000,109477,7,7,2005
"H&N RESTAURANT LLC",,"2992 OUR TIBBS TRL",LEXINGTON,KY,405119187,,"EATING PLACE",38.104287,-84.53423,722511,58120000,65812,2,2,2023
"HALL'S BARBEQUE LLC",,"424 NELSON ST",LEXINGTON,KY,405082134,,"EATING PLACE",38.045339,-84.478878,722511,58120801,72767,1,1,2020
"HALLIGANS LLC",,"1170 MANCHESTER PL STE 130",LEXINGTON,KY,405086701,8597850858,"EATING PLACE",38.055583,-84.517939,722511,58120502,240214,23,23,2022
"HAN WOO RI",,"371 S LIMESTONE STE 110",LEXINGTON,KY,405083064,8592582208,"EATING PLACE",38.042099,-84.503353,722511,58120110,123586,3,3,2009
"HANANOKI-JAPANESE STEAK HSE.",,"3952 HOLLYBERRY LN",LEXINGTON,KY,405141763,,"EATING PLACE",37.969327,-84.548082,722511,58120802,95967,5,5,2005
"HAPPY CHINA",,"1301 WINCHESTER RD STE 109",LEXINGTON,KY,405054132,8593889088,"EATING PLACE",38.044103,-84.458941,722511,58120103,106255,3,3,2007
"HAPPY DINING, LLC",,"629 E HIGH ST",LEXINGTON,KY,405021767,,"EATING PLACE",38.033393,-84.490901,722511,58120000,60379,4,4,2011
"HAPPY DRAGON, INC.",,"1510 NEWTOWN PIKE",LEXINGTON,KY,405111251,8593889988,"EATING PLACE",38.087144,-84.488298,722511,58120103,144437,9,9,1999
"HAPPY HOME KY, LLC",,"710 CENTRAL AVE",LEXINGTON,KY,405021710,8596196018,"EATING PLACE",38.034492,-84.486973,722511,58120000,173282,1,1,2018
"HAPPY LLC",,"1123 GAINESWAY DR",LEXINGTON,KY,405172717,8592851277,"EATING PLACE",37.99065,-84.484519,722511,58120103,205003,1,1,2019
"HAPPY PANDA LLC","PANDA CUISINE","117 TOWNE CENTER DR",LEXINGTON,KY,405112027,8593889999,"EATING PLACE",38.067729,-84.530259,722511,58120103,521304,1,1,2023
"HAPPY SUSHI LLC",,"130 W TIVERTON WAY STE 175",LEXINGTON,KY,405034423,8592317788,"EATING PLACE",37.980584,-84.531208,722511,58120109,105564,7,7,2016
"HARRYS AN AMERICAN BAR",,"1920 PLEASANT RIDGE DR",LEXINGTON,KY,405092412,8592648023,"EATING PLACE",38.017457,-84.41408,722511,58120101,244274,6,6,2010
"HARTROCK, LLC","SHAMROCK BAR AND GRILLE","4750 HARTLAND PKWY STE 128",LEXINGTON,KY,405152010,8592459504,"EATING PLACE",37.961673,-84.479936,722511,58120000,193782,9,9,2006
"HARVEYS LLC",,"200 W MAIN ST",LEXINGTON,KY,405071354,8592269333,"EATING PLACE",38.047103,-84.498226,722511,58120500,145807,28,28,2010
